Region,NQF Level 4 +,NQF Level 3,Trade apprenticeships,NQF Level 2,Other qualifications,Below NQF Level 2,No qualifications
North East,36%,19%,4%,17%,7%,10%,8%
North West,40%,18%,3%,16%,5%,10%,7%
Yorkshire & Humberside,39%,19%,3%,15%,6%,10%,7%
East Midlands,37%,19%,4%,16%,6%,12%,7%
West Midlands,40%,17%,3%,15%,8%,10%,7%
Eastern,41%,17%,3%,16%,6%,12%,5%
London,61%,12%,1%,8%,8%,5%,5%
South East,47%,18%,3%,14%,5%,10%,4%
South West,43%,19%,4%,14%,4%,10%,4%
Wales,40%,19%,3%,15%,6%,10%,8%
Scotland,51%,13%,4%,12%,6%,7%,8%
Northern Ireland,43%,17%,3%,14%,6%,9%,6%