country,Share of population that lives in the capital,in other urban areas,in rural areas
<b>Iceland</b> (Reykjavík),56.02,38,6
<b>Argentina</b> (Buenos Aires),34.95,56.6,8.4
<b>Japan</b> (Tokyo),29.52,63.5,7
<b>Portugal</b> (Lisbon),27.4,35.5,37.1
<b>Ireland</b> (Dublin),24.65,38.3,37
<b>UK</b> (London),22.7,59.6,17.7
<b>Denmark</b> (Copenhagen),22.16,65.3,12.5
<b>Egypt</b> (Cairo),20.06,23,56.9
<b>South Korea </b>(Seoul),19.4,63,17.6
<b>Mexico</b> (Mexico City),16.78,62.2,21
<b>France</b> (Paris),16.77,62.5,20.7
<b>Russia</b> (Moscow),8.39,65.5,26.1
<b>Niger</b> (Niamey),5.53,12.9,81.5
<b>Germany</b> (Berlin),4.35,70.7,24.9
<b>India </b>(Delhi),1.93,30.4,67.6
<b>Australia</b> (Canberra),1.77,87.5,10.7
"<b>USA</b> (Washington, D.C.)",1.54,79.9,18.6
<b>China</b> (Beijing),1.4,53,45.6