Pays;Adhésion;"Superficie
(km2)";"Habitants
(millions)"
Allemagne;1958;357027;83,13
Autriche;1995;83871;8,508
Belgique;1958;30500;11,204
Bulgarie;2007;110910;7,246
Chypre;2004;9251;0,858
Croatie;2013;56642;4,246
Danemark;1973;43100;5,627
Espagne;1986;505990;47,385
Estonie;2004;45227;1,316
Finlande;1995;337100;5,451
France;1958;632733;67,8
Grèce;1981;132000;10,993
Hongrie;2004;93032;9,879
Irlande;1973;70300;4,604
Italie;1958;301300;60,783
Lettonie;2004;64597;2,001
Lituanie;2004;65300;2,943
Luxembourg;1958;2586;0,672
Malte;2004;316;0,425
Pays-Bays;1958;41200;16,829
Pologne;2004;312678;38,496
Portugal;1986;92400;10,427
Roumanie;2007;238391;19,943
Slovaquie;2004;49035;5,416
Slovénie;2004;20273;2,061
Suède;1995;450000;9,645
Tchéquie;2004;78870;10,512