regionLabel;area;population
Alava;3037.0;333626
Alicante;5826.45;1881762
Biscaye;2217.0;1154334
Castellón;6632.0;587064
Cordoue;13550.0;776789
Cordoue;13550.0;785240
Guipuscoa;1980.0;726033
Las Palmas;4066.0;1128539
province d'Albacete;14858.0;386464
province d'Almería;8774.0;699329
province d'Ourense;7273.2;305223
province d'Ávila;8048.0;158421
province de Badajoz;21766.0;669943
province de Barcelone;7726.36;5704697
province de Burgos;14022.0;356055
province de Cadix;7385.0;1245960
province de Cuenca;17141.0;195516
province de Cáceres;19868.0;389558
province de Grenade;12531.0;914678
province de Guadalajara;10834.0;254308
province de Gérone;5910.0;786596
province de Huelva;10128.0;518930
province de Huesca;15626.0;224264
province de Jaén;13484.0;627190
province de La Corogne;7950.0;1120134
province de León;15570.0;451706
province de Lugo;9856.0;326013
province de Lérida;12172.0;439727
province de Málaga;7308.0;1695651
province de Palencia;8029.0;159123
province de Pontevedra;4495.0;944275
province de Salamanque;12349.0;327338
province de Santa Cruz de Ténérife;3381.0;1044405
province de Saragosse;17194.0;967452
province de Soria;10303.0;88747
province de Ségovie;6949.0;153663
province de Séville;14036.0;1957210
province de Tarragone;6303.0;822309
province de Teruel;14804.0;134545
province de Tolède;15368.0;703772
province de Valence;10763.0;2589312
province de Valladolid;8111.0;519361
province de Zamora;10559.0;168725
province d’Asturie;10604.0;1011792
province de Cantabrie;5321.0;584507
province de La Rioja;5045.0;319796
province de Madrid;8028.0;7000621
province de Ciudad Real;19813.0;492591
province de Murcie;11313.0;1518486
province de Navarre;10391.0;661537
Îles Baléares;4991.0;1176659